,x,y
155,5.8457856,2.2405283
156,5.57205,1.3808901
157,6.0268965,2.2034435
158,5.382822,1.298659
159,6.0307984,1.1294597
160,5.307983,1.343209
161,5.678699,2.1741676
162,5.3479657,0.3093992
163,5.396384,0.44281015
164,5.453298,0.447797
165,5.6609006,1.1611291
166,5.904384,1.963831
167,5.780963,0.92603785
168,5.1790032,0.640319
169,5.4488363,0.32457972
170,5.2647524,0.16971788
171,6.2977085,1.8676888
172,5.8366423,2.0669434
173,5.151854,0.6042408
174,6.20799,0.38474208
175,5.3071227,1.2843914
176,5.2949967,1.1029681
177,5.5948358,1.8413755
178,5.6820226,2.1668627
179,5.205974,0.46093547
180,6.0921664,1.1447369
181,6.2035584,0.94368714
182,5.7441726,1.8813083
183,6.26519,0.2190269
184,5.7126575,0.9915246
185,5.3482575,0.3537177
186,6.2681565,0.34063235
187,5.717199,1.446268
188,5.50974,0.78170484
189,5.2201614,0.39133096
190,5.4907856,0.4720413
191,5.4862137,0.48672706
192,5.2551103,0.6043271
193,5.678783,1.4324766
194,6.100481,1.3040177
195,5.5815544,1.4516976
196,6.2709446,2.090204
197,5.4382997,0.8318327
198,6.041597,0.32472864
199,5.1371946,0.43246147
200,5.2449102,0.41785297
201,5.897597,1.2044135
202,5.8493195,2.1013107
203,5.801294,1.7894942
204,5.7783637,0.55872774
205,5.3357534,0.86665636
206,5.864859,0.9593957
207,6.242722,2.232309
208,6.279846,2.189867
209,5.5928426,1.4794011
210,5.304472,1.4949658
211,6.198461,1.943596
212,6.10855,1.2823693
213,5.8861117,2.111194
214,5.707249,1.4125457
215,5.301131,1.48682
216,5.863235,1.6797242
217,13.398576,0.62027764
218,13.370618,0.6114739
219,13.374669,0.5936201
220,13.418271,0.68803155
221,13.3778,0.5950542
222,13.474364,0.7132621
223,13.4408455,0.66621786
224,13.487641,0.7180759
225,13.459415,0.6882704
226,13.350449,0.59060305
227,13.3568535,0.6010625
228,13.283983,0.5229014
229,13.510956,0.74438244
230,13.169824,0.47589278
231,13.50812,0.73891103
232,13.4892435,0.724705
233,13.487172,0.71838146
234,13.4447975,0.6831795
235,13.455194,0.6822023
236,13.471747,0.70956814
237,13.402333,0.6430703
238,13.486322,0.75491107
239,13.463739,0.69944346
240,13.486079,0.7175665
241,13.452774,0.6843368
242,13.461162,0.6706985
243,13.475931,0.7109099
244,13.499938,0.74226636
245,13.363806,0.59912694
246,13.360082,0.5873025
247,13.428797,0.6538742
248,13.462246,0.70231897
249,13.441745,0.6841235
250,13.48232,0.7205463
251,13.449378,0.7025979
252,-1.6129237,0.7592785
253,5.3171883,-8.289855
254,4.2193933,-8.818818
255,4.476674,-8.500581
256,4.294631,-8.890435
257,4.76598,-8.662751
258,4.10772,-7.6797204
259,4.4522243,-7.899283
260,4.1932673,-7.67389
261,5.752444,-7.9835873
262,5.082211,-8.226803
263,5.2871766,-8.170297
264,4.3389225,-8.783249
265,6.8880405,-2.4275322
266,5.7478843,-7.9411354
267,5.434556,-8.244363
268,4.541297,-8.52858
269,4.178418,-8.812517
270,5.39051,-8.223417
271,5.0783234,-8.51055
272,5.388869,-8.218241
273,5.359396,-8.1169195
274,4.3665633,-8.905951
275,4.237512,-7.8564043
276,4.310106,-8.751674
277,5.1767325,-8.457122
278,7.0289936,-5.67254
279,4.695454,-8.99207
280,4.226368,-7.650377
281,5.1051593,-8.00689
282,4.8571897,-7.866057
283,5.512551,-8.196796
284,4.1055512,-7.6882596
285,4.5998507,-8.899984
286,5.0361204,-8.196861
287,5.7214775,-8.008558
288,4.233677,-7.688382
289,4.146392,-8.178668
290,4.5967894,-9.040241
291,5.330917,-8.368468
292,5.0406494,-8.300877
293,4.639986,-7.6807947
294,4.7788453,-8.851575
295,5.0297155,-7.8000236
296,4.665871,-8.906049
297,4.474801,-8.982196
298,5.7288337,-8.011752
299,4.106877,-8.780916
300,4.8296933,-8.043189
301,4.2784452,-8.828154
302,4.1219544,-8.765067
303,5.1372547,-7.962702
304,4.216928,-8.683196
305,4.0933695,-8.69231
306,5.2739596,-8.394211
307,4.1533155,-7.6811476
308,4.4946437,-7.8703446
309,4.468992,-8.90677
310,4.163591,-7.714025
311,4.314784,-8.4866495
312,5.0393233,-7.926773
313,4.874984,-8.686322
314,5.0786815,-8.116534
315,4.6125717,-8.422363
316,5.3062572,-7.773182
317,4.531984,-8.197807
318,4.681044,-7.662877
319,5.4031415,-7.79745
