,x,y
137,12.37816,3.3574123
138,12.063374,2.674096
139,11.477222,3.0309422
140,10.965502,3.4754045
141,12.12575,2.7624247
142,12.10173,2.5189705
143,11.989031,2.6413724
144,12.050787,2.5157053
145,11.877714,4.150931
146,11.004484,3.5053604
147,11.278866,3.630729
148,11.76976,3.97069
149,12.519493,3.565368
150,12.160112,3.442927
151,11.633357,3.6959267
152,11.131126,3.5970135
153,11.799057,4.1816106
154,11.917691,4.2482724
155,12.166053,4.1113787
156,12.575777,3.4457378
157,12.365366,3.9948232
158,12.447964,3.1887486
159,11.4046335,3.8640325
160,12.485656,3.4598527
161,12.402123,3.8498871
162,11.880352,3.1721888
163,12.078866,2.535706
164,12.015018,2.6086047
165,11.817072,3.0412412
166,12.203359,3.8477318
167,11.693501,3.0925264
168,12.216181,2.7493207
169,11.7564945,2.8500383
170,12.094478,2.5267158
171,12.1292515,3.1131947
172,12.293258,3.8322263
173,12.182593,2.785355
174,10.903203,3.446438
175,12.120088,2.8935547
176,12.181188,2.713061
177,12.044867,3.5809908
178,12.299855,3.9262593
179,12.047533,2.6971903
180,12.259149,3.7566967
181,11.22284,3.5866694
182,12.174428,3.7578797
183,10.876413,3.4273295
184,11.632232,3.5506892
185,11.685181,2.9137402
186,10.9003,3.4431884
187,11.77738,3.5281723
188,12.119289,3.182016
189,12.11383,2.5540473
190,11.7303505,2.8959599
191,12.106416,2.566765
192,12.051746,2.7141404
193,12.0267725,3.5312715
194,11.692483,3.712367
195,12.116467,3.474253
196,12.111006,3.9211407
197,11.9844055,3.2723658
198,12.17948,3.426679
199,12.069298,2.6879826
200,12.040465,2.7039351
201,11.548845,3.36141
202,12.232846,3.9122226
203,12.544329,3.594074
204,11.371854,3.8100562
205,12.2379875,3.2940001
206,11.399379,3.2752264
207,12.462922,3.4111845
208,12.171103,4.190639
209,12.553707,3.4291391
210,12.172736,2.9238343
211,11.796591,4.150073
212,11.64614,3.8795297
213,12.460139,3.7441475
214,12.067631,3.8072548
215,12.455058,3.6122098
216,20.762793,9.084606
217,20.974087,9.323965
218,20.738169,9.052919
219,20.892015,9.223464
220,20.82403,9.147613
221,20.834904,9.16473
222,20.746477,9.065607
223,20.891485,9.219097
224,20.799267,9.122334
225,20.718935,9.04004
226,20.946884,9.283403
227,20.753637,9.067085
228,20.940836,9.286565
229,20.727503,9.027461
230,20.989693,9.341894
231,20.848873,9.179209
232,20.751192,9.071083
233,20.81965,9.144479
234,20.729992,9.038506
235,20.861427,9.190748
236,20.709597,9.028999
237,20.766268,9.089066
238,20.707796,9.029512
239,20.700487,9.018171
240,20.727182,9.065366
241,20.81168,9.133062
242,20.758442,9.079325
243,20.966265,9.337568
244,20.716599,9.033661
245,20.943975,9.281657
246,20.905533,9.242506
247,20.740461,9.059335
248,20.756973,9.078041
249,20.691341,9.011688
250,20.803202,9.128133
251,20.726116,9.048669
252,20.821178,9.145022
253,21.175522,-1.4358909
254,20.284481,-1.0203257
255,20.605673,-0.8638231
256,20.31198,-1.0611511
257,20.882774,-1.2166914
